arabic_word,meaning_korean,meaning_primary,example_sentence,sentence_meaning,chapter,root,verb_form,pattern,level,source
أَطْبُخُ,요리한다,요리한다,أَطْبُخُ الطَّعَامَ الْعَرَبِيَّ الْآنَ.,나는 지금 아랍 음식을 (요리한다).,,,0,,1,sample_words
أَطْوَلُ,가장키가큰,가장키가큰,أَحْمَدُ أَطْوَلُ طَالِبٍ فِي الصَّفِّ.,아흐마드는 반에서 (가장 키가 큰) 학생이다.,,,0,,1,sample_words
أَظُنُّ,생각한다,생각한다,أَظُنُّ أَنَّ الطُّلَّابَ مَعْقُولَةٌ.,나는 학생들이 합리적이라고 (생각한다). (문맥: 학생들의 요구가 합리적이다),,,0,,1,sample_words
أَظْهَرَ,보여주었다,보여주었다,أَظْهَرَ السُّرُورَ.,그는 기쁨을 (보여주었다/나타냈다).,,,0,,1,sample_words
أَظْهَرُوا,보였다,보였다,أَظْهَرُوا لِي لُطْفًا وَكَرَمًا.,그들은 나에게 친절과 관대함을 (보였다).,,,0,,1,sample_words
أَعَادَ,돌려주었다,돌려주었다,أَعَادَ الْكِتَابَ إِلَى الْمَكْتَبَةِ.,그는 도서관에 책을 (돌려주었다).,,,0,,1,sample_words
أَعْجَبَ,마음에들었다,마음에들었다,أَعْجَبَ الْمَنْظَرُ السَّائِحَ.,그 경치는 관광객의 (마음에 들었다).,,,0,,1,sample_words
أَعْجَبَتْنِي,마음에들었다,마음에들었다,أَعْجَبَتْنِي الْحَيَاةُ فِي تُونِسَ.,튀니지에서의 생활이 (마음에 들었다).,,,0,,1,sample_words
أَعْجَبَهُ,마음에들었다,마음에들었다,أَعْجَبَهُ الْعَمَلُ الْجَدِيدُ.,새로운 일이 그의 (마음에 들었다).,,,0,,1,sample_words
أَعْطَى,주었다,주었다,أَعْطَى الْفَقِيرَ مَالًا.,그는 가난한 사람에게 돈을 (주었다).,,,0,,1,sample_words
أَعْطَيْتُ,주었다,주었다,أَعْطَيْتُ زَيْدًا كِتَابًا.,나는 자이드에게 책을 (주었다).,,,0,,1,sample_words
أَعْلَنَ,발표했다,발표했다,أَعْلَنَ النَّتِيجَةَ.,그는 결과를 (발표했다/공고했다).,,,0,,1,sample_words
أَعْلَى,가장높은,가장높은,بُرْجُ خَلِيفَةَ أَعْلَى بِنَاءٍ فِي الْعَالَمِ.,부르즈 칼리파는 세계에서 (가장 높은) 건물이다.,,,0,,1,sample_words
أَعْمَلُ,일한다,일한다,أَعْمَلُ مُهَنْدِسًا فِي الشَّرِكَةِ.,나는 회사에서 엔지니어로 (일한다).,,,0,,1,sample_words
أَغْلَى,더비싼,더비싼,الذَّهَبُ أَغْلَى مِنَ الْفِضَّةِ.,금은 은보다 (더 비싼) 것이다.,,,0,,1,sample_words
أَفْرَادٍ,명,명,تَتَكَوَّنُ أُسْرَتِي مِنْ خَمْسَةِ أَفْرَادٍ.,나의 가족은 5(명/구성원)으로 구성된다.,,,0,,1,sample_words
أَفْهَمَ,이해시켰다,이해시켰다,أَفْهَمَ الطَّالِبَ الدَّرْسَ.,그는 학생에게 수업을 (이해시켰다).,,,0,,1,sample_words
أَفْهَمُ,이해한다,이해한다,أَفْهَمُ الْمُشْكِلَةَ تَمَامًا.,나는 그 문제점을 충분히 (이해한다).,,,0,,1,sample_words
أَقَارِبَكَ,친척,친척,زُرْ أَقَارِبَكَ فِي الْعِيدِ.,명절에 너의 (친척)들을 방문해라.,,,0,,1,sample_words
أَقَامَ,개최했다,개최했다,أَقَامَ حَفْلَةً.,그는 파티를 (개최했다/열었다).,,,0,,1,sample_words
أَقْرَأُ,읽고,읽고,أَنَا أَقْرَأُ كِتَابًا الْآنَ.,나는 지금 책을 (읽고) 있다.,,,0,,1,sample_words
أَقْرَبُ,더가까운,더가까운,بَيْتِي أَقْرَبُ إِلَى الْمَدْرَسَةِ مِنْ بَيْتِكَ.,내 집은 네 집보다 학교에 (더 가까운) 곳에 있다.,,,0,,1,sample_words
أَكَلُوا,먹었다,먹었다,أَكَلُوا الْكُسْكُسِي فِي تُونِسَ.,그들은 튀니지에서 쿠스쿠스를 (먹었다).,,,0,,1,sample_words
أَكَلْتَ,먹었니,먹었니,هَلْ أَكَلْتَ الطَّعَامَ الْعَرَبِيَّ مِنْ قَبْلُ؟,너는 전에 아랍 음식을 (먹었니)?,,,0,,1,sample_words
أَكَلْتُ,먹었다,먹었다,أَكَلْتُ الْجُبْنَةَ وَغَيْرَ الْجُبْنَةِ.,나는 치즈와 치즈 외의 것을 (먹었다).,,,0,,1,sample_words
أَكُلُ,먹는다,먹는다,أَكُلُ الْخُبْزَ وَالسَّلَطَةَ وَالْفَاكِهَةَ فِي الْفُطُورِ عَادَةً.,보통 나는 아침식사에 빵과 샐러드와 과일을 (먹는다).,,,0,,1,sample_words
أَكُنْ,아니었다,아니었다,لَمْ أَكُنْ طَالِبًا فِي الْمَدْرَسَةِ.,나는 그 학교 학생이 (아니었다).,,,0,,1,sample_words
أَكْبَرُ,가장큰,가장큰,سِيئُولُ أَكْبَرُ مَدِينَةٍ فِي كُورِيَا.,서울은 한국에서 (가장 큰) 도시이다.,,,0,,1,sample_words
أَكْتُبَ,쓰는,쓰는,نَسِيتُ أَنْ أَكْتُبَ رِسَالَةً.,나는 편지 (쓰는) 것을 잊었다.,,,0,,1,sample_words
أَكْمَلَ,마쳤었다,마쳤었다,وَكَانَ قَدْ أَكْمَلَ دِرَاسَتَهُ.,그리고 그는 이미 학업을 (마쳤었다). (대과거),,,0,,1,sample_words
أَكْمَلْتُ,마쳤다,마쳤다,أَكْمَلْتُ دِرَاسَةَ الْعَرَبِيَّةِ بِالتَّوْفِيقِ.,나는 성공적으로 아랍어 공부를 (마쳤다).,,,0,,1,sample_words
أَلَمٍ,통증,통증,أَشْعُرُ بِأَلَمٍ شَدِيدٍ فِي بَطْنِي.,나는 배에 심한 (통증)을 느낀다.,,,0,,1,sample_words
أَلْجَمْعُ,병행,병행,أَلْجَمْعُ بَيْنَ الْمَنْزِلِ وَالْعَمَلِ أَمْرٌ صَعْبٌ.,가정과 일을 (병행/결합)하는 것은 어려운 일이다.,,,0,,1,sample_words
أَلْعَبُ,합니다,합니다,عَادَةً أَلْعَبُ كُرَةَ الْقَدَمِ فِي الْمَسَاءِ.,보통 나는 저녁에 축구를 (합니다).,,,0,,1,sample_words
أَلْفٌ,1000,1000,أَلْفٌ.,(1000).,,,0,,1,sample_words
أَلْهَاتِفُ,전화기,전화기,أَلْهَاتِفُ عَلَى الطَّاوِلَةِ,(전화기)가 탁자 위에 있다.,,,0,,1,sample_words
أَمَامَ,앞에,앞에,يَقِفُ الْمُدَرِّسُ أَمَامَ السَّبُّورَةِ.,선생님이 칠판 (앞에) 서 있다.,,,0,,1,sample_words
أَمَامَهُ,앞,앞,الْمَتْحَفُ أَمَامَهُ.,박물관은 그 (앞)에 있다.,,,0,,1,sample_words
أَمَّا,~로말하자면,~로말하자면,أَمَّا اللُّغَةُ الْعَرَبِيَّةُ فَهِيَ لُغَةٌ جَمِيلَةٌ.,"아랍어(로 말하자면), 그것은 아름다운 언어이다.",,,0,,1,sample_words
أَمْرِيكَا,미국,미국,أَنَا مِنْ أَمْرِيكَا,나는 (미국) 출신이에요.,,,0,,1,sample_words
أَمْرِيكِيٌّ,미국인,미국인,الْمُوَظَّفُ أَمْرِيكِيٌّ.,(남)직원은 (미국인)이다.,,,0,,1,sample_words
أَنَا,나는,나는,أَنَا بِحَاجَةٍ إِلَى مُسَاعَدَتِكَ.,(나는) 너의 도움이 필요하다.,,,0,,1,sample_words
أَنَامُ,잔다,잔다,أَنَامُ مُبَكِّرًا فِي اللَّيْلِ.,나는 밤에 일찍 (잔다).,,,0,,1,sample_words
أَنَّ,~라는것을,~라는것을,عَرَفْتُ أَنَّ الْحَيَاةَ جَمِيلَةٌ جِدًّا.,나는 인생이 매우 아름답다는 (것을) 알았다.,,,0,,1,sample_words
أَنْتَ,당신,당신,مِنْ أَيْنَ أَنْتَ؟,(당신)은 어디서 왔나요?,,,0,,1,sample_words
أَهَمُّ,더중요한,더중요한,الصِّحَّةُ أَهَمُّ مِنَ الْمَالِ.,건강은 돈보다 (더 중요한) 것이다.,,,0,,1,sample_words
أَهْرَامَاتِ,피라미드,피라미드,سَأَزُورُ أَهْرَامَاتِ الْجِيزَةِ، وَمَعْبَدَ أَبُو سِمْبِل.,나는 기자(Giza)의 (피라미드)들과 아부 심벨 신전을 방문할 것이다.,,,0,,1,sample_words
أَيَّامٍ,일,일,أَدْرُسُ خَمْسَةَ أَيَّامٍ فِي الْأُسْبُوعِ.,나는 일주일에 5(일) 공부한다.,,,0,,1,sample_words
أَيُّ,어떤,어떤,أَيُّ كِتَابٍ هٰذَا؟,이것은 (어떤) 책이니?,,,0,,1,sample_words
أَيِّ,어느,어느,مِنْ أَيِّ بَلَدٍ أَنْتَ؟,너는 (어느) 나라에서 왔니?,,,0,,1,sample_words
أَيْضًا,또한,또한,الْمَكْتَبُ جَدِيدٌ أَيْضًا,책상 (또한) 새것이다.,,,0,,1,sample_words
أُرْدُنِيٌّ,요르단인,요르단인,الْمُوَظَّفُ أُرْدُنِيٌّ.,(남)직원은 (요르단인)이다.,,,0,,1,sample_words
أُسَاعِدَكَ,도와줄,도와줄,لَا يُمْكِنُنِي أَنْ أُسَاعِدَكَ.,나는 너를 (도와줄) 수 없다.,,,0,,1,sample_words
أُسْتَاذٌ,교수,교수,هُوَ أُسْتَاذٌ مِنَ السُّعُودِيَّةِ,그는 사우디아라비아 출신의 (교수)이다.,,,0,,1,sample_words
أُغَيِّرَ,바꿀,바꿀,لَمْ أَسْتَطِعْ أَنْ أُغَيِّرَ أُسْلُوبَ حَيَاتِي.,나는 내 생활 방식을 (바꿀) 수 없었다.,,,0,,1,sample_words
أُولَئِكَ,저,저,أُولَئِكَ مُدَرِّسُونَ., (저)들은 선생님들이다.,,,0,,1,sample_words
إِبْيَضَّتِ,하얘졌다,하얘졌다,إِبْيَضَّتِ الْقَرْيَةُ بَعْدَ سُقُوطِ الثَّلْجِ.,눈이 내린 후 마을이 (하얘졌다).,,,0,,1,sample_words
إِجْرَاءَاتٍ,조치,조치,اتَّخَذَتِ الْحُكُومَةُ إِجْرَاءَاتٍ ضَرُورِيَّةً.,정부는 필요한 (조치)들을 취했다.,,,0,,1,sample_words
إِحْدَى,한곳,한곳,يَعْمَلُ فِي إِحْدَى الْمَدَارِسِ الْأَجْنَبِيَّةِ.,그는 외국인 학교들 중 (한 곳)에서 일한다. (여성형),,,0,,1,sample_words
إِحْمَرَّتِ,빨개졌다,빨개졌다,إِحْمَرَّتِ السَّمَاءُ فَجْأَةً.,하늘이 갑자기 (빨개졌다). (9형),,,0,,1,sample_words
إِذَا,~하면,~하면,إِذَا سَافَرْتُ إِلَى الْقَاهِرَةِ، زُرْتُ الْأَهْرَامَ.,"내가 카이로에 여행 (하면/간다면), 피라미드를 방문할 것이다. (실현 가능)",,,0,,1,sample_words
إِسْبَانِيَّةٌ,스페인,스페인,هِيَ مُدَرِّسَةٌ إِسْبَانِيَّةٌ.,그녀는 (스페인) 선생님이다.,,,0,,1,sample_words
إِسْوَدَّتْ,검어졌다,검어졌다,إِسْوَدَّتْ مِيَاهُ النَّهْرِ بِسَبَبِ التَّلَوُّثِ.,오염 때문에 강물이 (검어졌다).,,,0,,1,sample_words
إِصَابَتِهِ,부상,부상,بَعْدَ إِصَابَتِهِ فِي حَادِثِ الْمُرُورِ.,교통사고 (부상) 후.,,,0,,1,sample_words
إِصْدَارِ,발행,발행,تَعَاوَنَ مَعَ صَدِيقِهِ فِي إِصْدَارِ جَرِيدَةٍ.,그는 신문 (발행)에 있어 그의 친구와 협력했다.,,,0,,1,sample_words
إِصْفَرَّ,노래졌다,노래졌다,إِصْفَرَّ وَجْهُ مَرْيَمَ بَعْدَ أَنْ سَمِعَتْ وَفَاةَ وَالِدِهَا.,마르얌의 얼굴은 아버지의 사망 소식을 들은 후 (노래졌다/창백해졌다).,,,0,,1,sample_words
إِعْرَجَّ,절뚝거렸다,절뚝거렸다,إِعْرَجَّ بَعْدَ إِصَابَتِهِ فِي حَادِثِ الْمُرُورِ.,그는 교통사고 부상 후 (절뚝거렸다/다리를 절게 되었다).,,,0,,1,sample_words
إِقَامَتِي,체류,체류,أَثْنَاءَ إِقَامَتِي فِي الْأُرْدُنِّ.,요르단 (체류) 중에.,,,0,,1,sample_words
إِلَيَّ,나,나,سَيَحْضُرُ سَامِي إِلَيَّ.,사미가 (나)에게 올 것이다.,,,0,,1,sample_words
إِلَيْهِمْ,그들,그들,أَذْهَبُ إِلَيْهِمْ الْآنَ.,나는 지금 (그들)에게 간다.,,,0,,1,sample_words
إِلَّا,전,전,السَّاعَةُ الثَّامِنَةُ وَالنِّصْفُ إِلَّا خَمْسَ دَقَائِقَ.,8시 반 5분 (전)입니다.,,,0,,1,sample_words
إِنَّ,정말로,정말로,إِنَّ الطَّقْسَ جَمِيلٌ الْيَوْمَ.,(정말로) 오늘 날씨는 아름답다.,,,0,,1,sample_words
إِنْ,~한다면,~한다면,إِنْ حَدَثَ ذٰلِكَ فَهُوَ أَمْرٌ خَطِيرٌ.,"그 일이 일어(난다면), 그것은 위험한 일이다.",,,0,,1,sample_words
إِيَّاهَا,그것을,그것을,مَنَحُونِي إِيَّاهَا.,그들은 나에게 (그것을) 주었다.,,,0,,1,sample_words
اتَّخَذَ,내렸다,내렸다,اتَّخَذَ الْمُدِيرُ قَرَارًا بِتَوْظِيفِ الْمُوَظَّفِينَ الْجُدُدِ.,이사는 신입 사원 채용 결정을 (내렸다/취했다).,,,0,,1,sample_words
اتَّخَذَتِ,취했다,취했다,اتَّخَذَتِ الْحُكُومَةُ إِجْرَاءَاتٍ ضَرُورِيَّةً لِلْخُرُوجِ مِنَ الْأَزْمَةِ الْمَالِيَّةِ.,정부는 금융 위기에서 벗어나기 위해 필요한 조치를 (취했다).,,,0,,1,sample_words
اتَّصَلَ,연락했다,연락했다,اتَّصَلَ بِي صَدِيقِي أَمْسِ.,내 친구가 어제 나에게 (연락했다/전화했다). (w -> t 동화),,,0,,1,sample_words
اتَّفَقَ,동의했다,동의했다,اتَّفَقَ الرَّئِيسَانِ عَلَى تَوْقِيعِ اتِّفَاقِيَّةِ السَّلَامِ.,두 대통령은 평화 협정에 서명하기로 (동의했다). (w -> t 동화),,,0,,1,sample_words
