root,verb_form,verb_form_label,pattern,nuance_korean,arabic_word,meaning_korean,verified
ء-ث-ر,3,3형,فَاعَلَ,상호동작,ءَاثَرَ,,N
ء-ث-ر,4,4형,أَفْعَلَ,사역형,أَءْثَرَ,,N
ء-ث-ر,5,5형,تَفَعَّلَ,재귀(2형),تَءَثَّرَ,,N
ء-ث-ر,6,6형,تَفَاعَلَ,상호재귀,تَءَاثَرَ,,N
ء-ث-ر,7,7형,اِنْفَعَلَ,수동형,اِنْءَثَرَ,,N
ء-ث-ر,8,8형,اِفْتَعَلَ,재귀/중간태,اِءْتَثَرَ,,N
ء-ث-ر,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَءْثَرَ,,N
أ-خ-ذ,1,1형,فَعَلَ,기본형,أَخَذَ,,Y
أ-خ-ذ,2,2형,فَعَّلَ,사동/강조,أَخَّذَ,,Y
أ-خ-ذ,3,3형,فَاعَلَ,상호동작,أَاخَذَ,,N
أ-خ-ذ,4,4형,أَفْعَلَ,사역형,أَأْخَذَ,,N
أ-خ-ذ,5,5형,تَفَعَّلَ,재귀(2형),تَأَخَّذَ,,Y
أ-خ-ذ,6,6형,تَفَاعَلَ,상호재귀,تَأَاخَذَ,,N
أ-خ-ذ,7,7형,اِنْفَعَلَ,수동형,اِنْأَخَذَ,,N
أ-خ-ذ,8,8형,اِفْتَعَلَ,재귀/중간태,اِأْتَخَذَ,,N
أ-خ-ذ,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَأْخَذَ,,N
أ-ك-ل,1,1형,فَعَلَ,기본형,أَكَلَ,,Y
أ-ك-ل,2,2형,فَعَّلَ,사동/강조,أَكَّلَ,,Y
أ-ك-ل,3,3형,فَاعَلَ,상호동작,أَاكَلَ,,N
أ-ك-ل,4,4형,أَفْعَلَ,사역형,أَأْكَلَ,,N
أ-ك-ل,5,5형,تَفَعَّلَ,재귀(2형),تَأَكَّلَ,,Y
أ-ك-ل,6,6형,تَفَاعَلَ,상호재귀,تَأَاكَلَ,,N
أ-ك-ل,7,7형,اِنْفَعَلَ,수동형,اِنْأَكَلَ,,N
أ-ك-ل,8,8형,اِفْتَعَلَ,재귀/중간태,اِأْتَكَلَ,,N
أ-ك-ل,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَأْكَلَ,,N
ب-ت-د,1,1형,فَعَلَ,기본형,بَتَدَ,,N
ب-ت-د,2,2형,فَعَّلَ,사동/강조,بَتَّدَ,,N
ب-ت-د,3,3형,فَاعَلَ,상호동작,بَاتَدَ,,N
ب-ت-د,4,4형,أَفْعَلَ,사역형,أَبْتَدَ,,N
ب-ت-د,5,5형,تَفَعَّلَ,재귀(2형),تَبَتَّدَ,,N
ب-ت-د,6,6형,تَفَاعَلَ,상호재귀,تَبَاتَدَ,,N
ب-ت-د,7,7형,اِنْفَعَلَ,수동형,اِنْبَتَدَ,,N
ب-ت-د,8,8형,اِفْتَعَلَ,재귀/중간태,اِبْتَتَدَ,,N
ب-ت-د,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَبْتَدَ,,N
ب-ح-ث,1,1형,فَعَلَ,기본형,بَحَثَ,,Y
ب-ح-ث,2,2형,فَعَّلَ,사동/강조,بَحَّثَ,,Y
ب-ح-ث,3,3형,فَاعَلَ,상호동작,بَاحَثَ,,Y
ب-ح-ث,4,4형,أَفْعَلَ,사역형,أَبْحَثَ,,Y
ب-ح-ث,5,5형,تَفَعَّلَ,재귀(2형),تَبَحَّثَ,,Y
ب-ح-ث,6,6형,تَفَاعَلَ,상호재귀,تَبَاحَثَ,,Y
ب-ح-ث,7,7형,اِنْفَعَلَ,수동형,اِنْبَحَثَ,,N
ب-ح-ث,8,8형,اِفْتَعَلَ,재귀/중간태,اِبْتَحَثَ,,N
ب-ح-ث,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَبْحَثَ,,N
ب-د-أ,1,1형,فَعَلَ,기본형,بَدَأَ,,Y
ب-د-أ,2,2형,فَعَّلَ,사동/강조,بَدَّأَ,,Y
ب-د-أ,3,3형,فَاعَلَ,상호동작,بَادَأَ,,Y
ب-د-أ,4,4형,أَفْعَلَ,사역형,أَبْدَأَ,,Y
ب-د-أ,5,5형,تَفَعَّلَ,재귀(2형),تَبَدَّأَ,,Y
ب-د-أ,6,6형,تَفَاعَلَ,상호재귀,تَبَادَأَ,,Y
ب-د-أ,7,7형,اِنْفَعَلَ,수동형,اِنْبَدَأَ,,N
ب-د-أ,8,8형,اِفْتَعَلَ,재귀/중간태,اِبْتَدَأَ,,Y
ب-د-أ,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَبْدَأَ,,Y
ب-د-ل,1,1형,فَعَلَ,기본형,بَدَلَ,,Y
ب-د-ل,2,2형,فَعَّلَ,사동/강조,بَدَّلَ,,Y
ب-د-ل,3,3형,فَاعَلَ,상호동작,بَادَلَ,,Y
ب-د-ل,4,4형,أَفْعَلَ,사역형,أَبْدَلَ,,Y
ب-د-ل,5,5형,تَفَعَّلَ,재귀(2형),تَبَدَّلَ,,Y
ب-د-ل,6,6형,تَفَاعَلَ,상호재귀,تَبَادَلَ,,Y
ب-د-ل,7,7형,اِنْفَعَلَ,수동형,اِنْبَدَلَ,,N
ب-د-ل,8,8형,اِفْتَعَلَ,재귀/중간태,اِبْتَدَلَ,,N
ب-د-ل,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَبْدَلَ,,Y
ب-ذ-ل,1,1형,فَعَلَ,기본형,بَذَلَ,,Y
ب-ذ-ل,2,2형,فَعَّلَ,사동/강조,بَذَّلَ,,Y
ب-ذ-ل,3,3형,فَاعَلَ,상호동작,بَاذَلَ,,Y
ب-ذ-ل,4,4형,أَفْعَلَ,사역형,أَبْذَلَ,,Y
ب-ذ-ل,5,5형,تَفَعَّلَ,재귀(2형),تَبَذَّلَ,,Y
ب-ذ-ل,6,6형,تَفَاعَلَ,상호재귀,تَبَاذَلَ,,N
ب-ذ-ل,7,7형,اِنْفَعَلَ,수동형,اِنْبَذَلَ,,N
ب-ذ-ل,8,8형,اِفْتَعَلَ,재귀/중간태,اِبْتَذَلَ,,Y
ب-ذ-ل,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَبْذَلَ,,N
ب-ر-ج,1,1형,فَعَلَ,기본형,بَرَجَ,,Y
ب-ر-ج,2,2형,فَعَّلَ,사동/강조,بَرَّجَ,,Y
ب-ر-ج,3,3형,فَاعَلَ,상호동작,بَارَجَ,,Y
ب-ر-ج,4,4형,أَفْعَلَ,사역형,أَبْرَجَ,,N
ب-ر-ج,5,5형,تَفَعَّلَ,재귀(2형),تَبَرَّجَ,,Y
ب-ر-ج,6,6형,تَفَاعَلَ,상호재귀,تَبَارَجَ,,N
ب-ر-ج,7,7형,اِنْفَعَلَ,수동형,اِنْبَرَجَ,,N
ب-ر-ج,8,8형,اِفْتَعَلَ,재귀/중간태,اِبْتَرَجَ,,N
ب-ر-ج,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَبْرَجَ,,N
ب-ض-ت,1,1형,فَعَلَ,기본형,بَضَتَ,,Y
ب-ض-ت,2,2형,فَعَّلَ,사동/강조,بَضَّتَ,,Y
ب-ض-ت,3,3형,فَاعَلَ,상호동작,بَاضَتَ,,Y
ب-ض-ت,4,4형,أَفْعَلَ,사역형,أَبْضَتَ,,N
ب-ض-ت,5,5형,تَفَعَّلَ,재귀(2형),تَبَضَّتَ,,N
ب-ض-ت,6,6형,تَفَاعَلَ,상호재귀,تَبَاضَتَ,,N
ب-ض-ت,7,7형,اِنْفَعَلَ,수동형,اِنْبَضَتَ,,N
ب-ض-ت,8,8형,اِفْتَعَلَ,재귀/중간태,اِبْتَضَتَ,,N
ب-ض-ت,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَبْضَتَ,,N
ب-ع-د,1,1형,فَعَلَ,기본형,بَعَدَ,,Y
ب-ع-د,2,2형,فَعَّلَ,사동/강조,بَعَّدَ,,Y
ب-ع-د,3,3형,فَاعَلَ,상호동작,بَاعَدَ,,Y
ب-ع-د,4,4형,أَفْعَلَ,사역형,أَبْعَدَ,,Y
ب-ع-د,5,5형,تَفَعَّلَ,재귀(2형),تَبَعَّدَ,,Y
ب-ع-د,6,6형,تَفَاعَلَ,상호재귀,تَبَاعَدَ,,Y
ب-ع-د,7,7형,اِنْفَعَلَ,수동형,اِنْبَعَدَ,,N
ب-ع-د,8,8형,اِفْتَعَلَ,재귀/중간태,اِبْتَعَدَ,,Y
ب-ع-د,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَبْعَدَ,,Y
ب-ع-ض,1,1형,فَعَلَ,기본형,بَعَضَ,,Y
ب-ع-ض,2,2형,فَعَّلَ,사동/강조,بَعَّضَ,,Y
ب-ع-ض,3,3형,فَاعَلَ,상호동작,بَاعَضَ,,N
ب-ع-ض,4,4형,أَفْعَلَ,사역형,أَبْعَضَ,,Y
ب-ع-ض,5,5형,تَفَعَّلَ,재귀(2형),تَبَعَّضَ,,Y
ب-ع-ض,6,6형,تَفَاعَلَ,상호재귀,تَبَاعَضَ,,N
ب-ع-ض,7,7형,اِنْفَعَلَ,수동형,اِنْبَعَضَ,,N
ب-ع-ض,8,8형,اِفْتَعَلَ,재귀/중간태,اِبْتَعَضَ,,N
ب-ع-ض,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَبْعَضَ,,N
ب-ق-ر,1,1형,فَعَلَ,기본형,بَقَرَ,,Y
ب-ق-ر,2,2형,فَعَّلَ,사동/강조,بَقَّرَ,,Y
ب-ق-ر,3,3형,فَاعَلَ,상호동작,بَاقَرَ,,Y
ب-ق-ر,4,4형,أَفْعَلَ,사역형,أَبْقَرَ,,Y
ب-ق-ر,5,5형,تَفَعَّلَ,재귀(2형),تَبَقَّرَ,,Y
ب-ق-ر,6,6형,تَفَاعَلَ,상호재귀,تَبَاقَرَ,,N
ب-ق-ر,7,7형,اِنْفَعَلَ,수동형,اِنْبَقَرَ,,N
ب-ق-ر,8,8형,اِفْتَعَلَ,재귀/중간태,اِبْتَقَرَ,,N
ب-ق-ر,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَبْقَرَ,,N
ب-ك-ر,1,1형,فَعَلَ,기본형,بَكَرَ,,Y
ب-ك-ر,2,2형,فَعَّلَ,사동/강조,بَكَّرَ,,Y
ب-ك-ر,3,3형,فَاعَلَ,상호동작,بَاكَرَ,,Y
ب-ك-ر,4,4형,أَفْعَلَ,사역형,أَبْكَرَ,,Y
ب-ك-ر,5,5형,تَفَعَّلَ,재귀(2형),تَبَكَّرَ,,Y
ب-ك-ر,6,6형,تَفَاعَلَ,상호재귀,تَبَاكَرَ,,Y
ب-ك-ر,7,7형,اِنْفَعَلَ,수동형,اِنْبَكَرَ,,N
ب-ك-ر,8,8형,اِفْتَعَلَ,재귀/중간태,اِبْتَكَرَ,,Y
ب-ك-ر,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَبْكَرَ,,N
ب-ك-م,1,1형,فَعَلَ,기본형,بَكَمَ,,Y
ب-ك-م,2,2형,فَعَّلَ,사동/강조,بَكَّمَ,,Y
ب-ك-م,3,3형,فَاعَلَ,상호동작,بَاكَمَ,,Y
ب-ك-م,4,4형,أَفْعَلَ,사역형,أَبْكَمَ,,Y
ب-ك-م,5,5형,تَفَعَّلَ,재귀(2형),تَبَكَّمَ,,Y
ب-ك-م,6,6형,تَفَاعَلَ,상호재귀,تَبَاكَمَ,,Y
ب-ك-م,7,7형,اِنْفَعَلَ,수동형,اِنْبَكَمَ,,Y
ب-ك-م,8,8형,اِفْتَعَلَ,재귀/중간태,اِبْتَكَمَ,,Y
ب-ك-م,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَبْكَمَ,,Y
ب-ل-غ,1,1형,فَعَلَ,기본형,بَلَغَ,,Y
ب-ل-غ,2,2형,فَعَّلَ,사동/강조,بَلَّغَ,,Y
ب-ل-غ,3,3형,فَاعَلَ,상호동작,بَالَغَ,,Y
ب-ل-غ,4,4형,أَفْعَلَ,사역형,أَبْلَغَ,,Y
ب-ل-غ,5,5형,تَفَعَّلَ,재귀(2형),تَبَلَّغَ,,Y
ب-ل-غ,6,6형,تَفَاعَلَ,상호재귀,تَبَالَغَ,,Y
ب-ل-غ,7,7형,اِنْفَعَلَ,수동형,اِنْبَلَغَ,,N
ب-ل-غ,8,8형,اِفْتَعَلَ,재귀/중간태,اِبْتَلَغَ,,N
ب-ل-غ,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَبْلَغَ,,N
ب-ن-ء,1,1형,فَعَلَ,기본형,بَنَءَ,,N
ب-ن-ء,2,2형,فَعَّلَ,사동/강조,بَنَّءَ,,N
ب-ن-ء,3,3형,فَاعَلَ,상호동작,بَانَءَ,,N
ب-ن-ء,4,4형,أَفْعَلَ,사역형,أَبْنَءَ,,N
ب-ن-ء,5,5형,تَفَعَّلَ,재귀(2형),تَبَنَّءَ,,N
ب-ن-ء,6,6형,تَفَاعَلَ,상호재귀,تَبَانَءَ,,N
ب-ن-ء,7,7형,اِنْفَعَلَ,수동형,اِنْبَنَءَ,,N
ب-ن-ء,8,8형,اِفْتَعَلَ,재귀/중간태,اِبْتَنَءَ,,N
ب-ن-ء,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَبْنَءَ,,N
ب-ن-ت,1,1형,فَعَلَ,기본형,بَنَتَ,,Y
ب-ن-ت,2,2형,فَعَّلَ,사동/강조,بَنَّتَ,,Y
ب-ن-ت,3,3형,فَاعَلَ,상호동작,بَانَتَ,,Y
ب-ن-ت,4,4형,أَفْعَلَ,사역형,أَبْنَتَ,,Y
ب-ن-ت,5,5형,تَفَعَّلَ,재귀(2형),تَبَنَّتَ,,Y
ب-ن-ت,6,6형,تَفَاعَلَ,상호재귀,تَبَانَتَ,,N
ب-ن-ت,7,7형,اِنْفَعَلَ,수동형,اِنْبَنَتَ,,Y
ب-ن-ت,8,8형,اِفْتَعَلَ,재귀/중간태,اِبْتَنَتَ,,Y
ب-ن-ت,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَبْنَتَ,,Y
ب-ن-ن,1,1형,فَعَلَ,기본형,بَنَنَ,,N
ب-ن-ن,2,2형,فَعَّلَ,사동/강조,بَنَّنَ,,N
ب-ن-ن,3,3형,فَاعَلَ,상호동작,بَانَنَ,,N
ب-ن-ن,4,4형,أَفْعَلَ,사역형,أَبْنَنَ,,N
ب-ن-ن,5,5형,تَفَعَّلَ,재귀(2형),تَبَنَّنَ,,Y
ب-ن-ن,6,6형,تَفَاعَلَ,상호재귀,تَبَانَنَ,,N
ب-ن-ن,7,7형,اِنْفَعَلَ,수동형,اِنْبَنَنَ,,N
ب-ن-ن,8,8형,اِفْتَعَلَ,재귀/중간태,اِبْتَنَنَ,,N
ب-ن-ن,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَبْنَنَ,,N
ت-ء-ج,1,1형,فَعَلَ,기본형,تَءَجَ,,N
ت-ء-ج,2,2형,فَعَّلَ,사동/강조,تَءَّجَ,,N
ت-ء-ج,3,3형,فَاعَلَ,상호동작,تَاءَجَ,,N
ت-ء-ج,4,4형,أَفْعَلَ,사역형,أَتْءَجَ,,N
ت-ء-ج,5,5형,تَفَعَّلَ,재귀(2형),تَتَءَّجَ,,N
ت-ء-ج,6,6형,تَفَاعَلَ,상호재귀,تَتَاءَجَ,,N
ت-ء-ج,7,7형,اِنْفَعَلَ,수동형,اِنْتَءَجَ,,N
ت-ء-ج,8,8형,اِفْتَعَلَ,재귀/중간태,اِتْتَءَجَ,,N
ت-ء-ج,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَتْءَجَ,,N
ت-ب-د,1,1형,فَعَلَ,기본형,تَبَدَ,,Y
ت-ب-د,2,2형,فَعَّلَ,사동/강조,تَبَّدَ,,Y
ت-ب-د,3,3형,فَاعَلَ,상호동작,تَابَدَ,,Y
ت-ب-د,4,4형,أَفْعَلَ,사역형,أَتْبَدَ,,Y
ت-ب-د,5,5형,تَفَعَّلَ,재귀(2형),تَتَبَّدَ,,Y
ت-ب-د,6,6형,تَفَاعَلَ,상호재귀,تَتَابَدَ,,Y
ت-ب-د,7,7형,اِنْفَعَلَ,수동형,اِنْتَبَدَ,,N
ت-ب-د,8,8형,اِفْتَعَلَ,재귀/중간태,اِتْتَبَدَ,,N
ت-ب-د,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَتْبَدَ,,N
ت-ج-ر,1,1형,فَعَلَ,기본형,تَجَرَ,,Y
ت-ج-ر,2,2형,فَعَّلَ,사동/강조,تَجَّرَ,,Y
ت-ج-ر,3,3형,فَاعَلَ,상호동작,تَاجَرَ,,Y
ت-ج-ر,4,4형,أَفْعَلَ,사역형,أَتْجَرَ,,Y
ت-ج-ر,5,5형,تَفَعَّلَ,재귀(2형),تَتَجَّرَ,,Y
ت-ج-ر,6,6형,تَفَاعَلَ,상호재귀,تَتَاجَرَ,,Y
ت-ج-ر,7,7형,اِنْفَعَلَ,수동형,اِنْتَجَرَ,,N
ت-ج-ر,8,8형,اِفْتَعَلَ,재귀/중간태,اِتْتَجَرَ,,N
ت-ج-ر,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَتْجَرَ,,N
ت-ج-ن,1,1형,فَعَلَ,기본형,تَجَنَ,,Y
ت-ج-ن,2,2형,فَعَّلَ,사동/강조,تَجَّنَ,,Y
ت-ج-ن,3,3형,فَاعَلَ,상호동작,تَاجَنَ,,N
ت-ج-ن,4,4형,أَفْعَلَ,사역형,أَتْجَنَ,,Y
ت-ج-ن,5,5형,تَفَعَّلَ,재귀(2형),تَتَجَّنَ,,Y
ت-ج-ن,6,6형,تَفَاعَلَ,상호재귀,تَتَاجَنَ,,N
ت-ج-ن,7,7형,اِنْفَعَلَ,수동형,اِنْتَجَنَ,,Y
ت-ج-ن,8,8형,اِفْتَعَلَ,재귀/중간태,اِتْتَجَنَ,,N
ت-ج-ن,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَتْجَنَ,,N
ت-ح-ت,1,1형,فَعَلَ,기본형,تَحَتَ,,Y
ت-ح-ت,2,2형,فَعَّلَ,사동/강조,تَحَّتَ,,Y
ت-ح-ت,3,3형,فَاعَلَ,상호동작,تَاحَتَ,,N
ت-ح-ت,4,4형,أَفْعَلَ,사역형,أَتْحَتَ,,Y
ت-ح-ت,5,5형,تَفَعَّلَ,재귀(2형),تَتَحَّتَ,,N
ت-ح-ت,6,6형,تَفَاعَلَ,상호재귀,تَتَاحَتَ,,N
ت-ح-ت,7,7형,اِنْفَعَلَ,수동형,اِنْتَحَتَ,,Y
ت-ح-ت,8,8형,اِفْتَعَلَ,재귀/중간태,اِتْتَحَتَ,,N
ت-ح-ت,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَتْحَتَ,,N
ت-ح-د,1,1형,فَعَلَ,기본형,تَحَدَ,,Y
ت-ح-د,2,2형,فَعَّلَ,사동/강조,تَحَّدَ,,Y
ت-ح-د,3,3형,فَاعَلَ,상호동작,تَاحَدَ,,N
ت-ح-د,4,4형,أَفْعَلَ,사역형,أَتْحَدَ,,Y
ت-ح-د,5,5형,تَفَعَّلَ,재귀(2형),تَتَحَّدَ,,Y
ت-ح-د,6,6형,تَفَاعَلَ,상호재귀,تَتَاحَدَ,,N
ت-ح-د,7,7형,اِنْفَعَلَ,수동형,اِنْتَحَدَ,,N
ت-ح-د,8,8형,اِفْتَعَلَ,재귀/중간태,اِتْتَحَدَ,,N
ت-ح-د,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَتْحَدَ,,N
ت-ح-س,1,1형,فَعَلَ,기본형,تَحَسَ,,Y
ت-ح-س,2,2형,فَعَّلَ,사동/강조,تَحَّسَ,,Y
ت-ح-س,3,3형,فَاعَلَ,상호동작,تَاحَسَ,,N
ت-ح-س,4,4형,أَفْعَلَ,사역형,أَتْحَسَ,,Y
ت-ح-س,5,5형,تَفَعَّلَ,재귀(2형),تَتَحَّسَ,,Y
ت-ح-س,6,6형,تَفَاعَلَ,상호재귀,تَتَاحَسَ,,N
ت-ح-س,7,7형,اِنْفَعَلَ,수동형,اِنْتَحَسَ,,N
ت-ح-س,8,8형,اِفْتَعَلَ,재귀/중간태,اِتْتَحَسَ,,N
ت-ح-س,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَتْحَسَ,,N
ت-خ-ذ,1,1형,فَعَلَ,기본형,تَخَذَ,,N
ت-خ-ذ,2,2형,فَعَّلَ,사동/강조,تَخَّذَ,,N
ت-خ-ذ,3,3형,فَاعَلَ,상호동작,تَاخَذَ,,Y
ت-خ-ذ,4,4형,أَفْعَلَ,사역형,أَتْخَذَ,,Y
ت-خ-ذ,5,5형,تَفَعَّلَ,재귀(2형),تَتَخَّذَ,,Y
ت-خ-ذ,6,6형,تَفَاعَلَ,상호재귀,تَتَاخَذَ,,N
ت-خ-ذ,7,7형,اِنْفَعَلَ,수동형,اِنْتَخَذَ,,N
ت-خ-ذ,8,8형,اِفْتَعَلَ,재귀/중간태,اِتْتَخَذَ,,N
ت-خ-ذ,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَتْخَذَ,,N
ت-خ-ر,1,1형,فَعَلَ,기본형,تَخَرَ,,Y
ت-خ-ر,2,2형,فَعَّلَ,사동/강조,تَخَّرَ,,Y
ت-خ-ر,3,3형,فَاعَلَ,상호동작,تَاخَرَ,,Y
ت-خ-ر,4,4형,أَفْعَلَ,사역형,أَتْخَرَ,,N
ت-خ-ر,5,5형,تَفَعَّلَ,재귀(2형),تَتَخَّرَ,,N
ت-خ-ر,6,6형,تَفَاعَلَ,상호재귀,تَتَاخَرَ,,Y
ت-خ-ر,7,7형,اِنْفَعَلَ,수동형,اِنْتَخَرَ,,N
ت-خ-ر,8,8형,اِفْتَعَلَ,재귀/중간태,اِتْتَخَرَ,,N
ت-خ-ر,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَتْخَرَ,,N
ت-خ-ف,1,1형,فَعَلَ,기본형,تَخَفَ,,Y
ت-خ-ف,2,2형,فَعَّلَ,사동/강조,تَخَّفَ,,Y
ت-خ-ف,3,3형,فَاعَلَ,상호동작,تَاخَفَ,,N
ت-خ-ف,4,4형,أَفْعَلَ,사역형,أَتْخَفَ,,Y
ت-خ-ف,5,5형,تَفَعَّلَ,재귀(2형),تَتَخَّفَ,,Y
ت-خ-ف,6,6형,تَفَاعَلَ,상호재귀,تَتَاخَفَ,,N
ت-خ-ف,7,7형,اِنْفَعَلَ,수동형,اِنْتَخَفَ,,N
ت-خ-ف,8,8형,اِفْتَعَلَ,재귀/중간태,اِتْتَخَفَ,,N
ت-خ-ف,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَتْخَفَ,,N
ت-ر-ج,1,1형,فَعَلَ,기본형,تَرَجَ,,Y
ت-ر-ج,2,2형,فَعَّلَ,사동/강조,تَرَّجَ,,Y
ت-ر-ج,3,3형,فَاعَلَ,상호동작,تَارَجَ,,Y
ت-ر-ج,4,4형,أَفْعَلَ,사역형,أَتْرَجَ,,Y
ت-ر-ج,5,5형,تَفَعَّلَ,재귀(2형),تَتَرَّجَ,,Y
ت-ر-ج,6,6형,تَفَاعَلَ,상호재귀,تَتَارَجَ,,Y
ت-ر-ج,7,7형,اِنْفَعَلَ,수동형,اِنْتَرَجَ,,N
ت-ر-ج,8,8형,اِفْتَعَلَ,재귀/중간태,اِتْتَرَجَ,,N
ت-ر-ج,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَتْرَجَ,,N
ت-ر-خ,1,1형,فَعَلَ,기본형,تَرَخَ,,Y
ت-ر-خ,2,2형,فَعَّلَ,사동/강조,تَرَّخَ,,Y
ت-ر-خ,3,3형,فَاعَلَ,상호동작,تَارَخَ,,N
ت-ر-خ,4,4형,أَفْعَلَ,사역형,أَتْرَخَ,,N
ت-ر-خ,5,5형,تَفَعَّلَ,재귀(2형),تَتَرَّخَ,,N
ت-ر-خ,6,6형,تَفَاعَلَ,상호재귀,تَتَارَخَ,,N
ت-ر-خ,7,7형,اِنْفَعَلَ,수동형,اِنْتَرَخَ,,N
ت-ر-خ,8,8형,اِفْتَعَلَ,재귀/중간태,اِتْتَرَخَ,,N
ت-ر-خ,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَتْرَخَ,,N
ت-ر-ك,1,1형,فَعَلَ,기본형,تَرَكَ,,Y
ت-ر-ك,2,2형,فَعَّلَ,사동/강조,تَرَّكَ,,Y
ت-ر-ك,3,3형,فَاعَلَ,상호동작,تَارَكَ,,Y
ت-ر-ك,4,4형,أَفْعَلَ,사역형,أَتْرَكَ,,Y
ت-ر-ك,5,5형,تَفَعَّلَ,재귀(2형),تَتَرَّكَ,,Y
ت-ر-ك,6,6형,تَفَاعَلَ,상호재귀,تَتَارَكَ,,Y
ت-ر-ك,7,7형,اِنْفَعَلَ,수동형,اِنْتَرَكَ,,Y
ت-ر-ك,8,8형,اِفْتَعَلَ,재귀/중간태,اِتْتَرَكَ,,N
ت-ر-ك,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَتْرَكَ,,Y
ت-ز-ج,1,1형,فَعَلَ,기본형,تَزَجَ,,Y
ت-ز-ج,2,2형,فَعَّلَ,사동/강조,تَزَّجَ,,Y
