root,verb_form,verb_form_label,pattern,nuance_korean,arabic_word,meaning_korean,verified,meaning_primary,meaning_secondary,nuance_kr,example_sentence,sentence_meaning,level
-م-ك,5,5형,تَفَعَّلَ,재귀(2형),تََمَّكَ,,Y,자리를잡다,견고해지다; 확고해지다; 공고해지다,"주로 추상적인 의미로 사용되며, 어떤 위치나 상태가 안정적으로 굳어짐을 나타냄.",تَمَكَّنَ الرَّئِيسُ مِنْ سُلْطَتِهِ بَعْدَ الانتِخابات.,대통령은 선거 후 권력을 장악하는 데 성공했다.,1
-م-ك,6,6형,تَفَاعَلَ,상호재귀,تََامَكَ,,Y,다투다,논쟁하다; 반목하다,"주로 상호적인 행위를 나타내며, 갈등이나 대립의 의미를 내포함",تَامَكَ الرَّجُلَانِ عَلَى المَالِ.,두 남자는 돈 때문에 다투었다.,1
-م-ك,7,7형,اِنْفَعَلَ,수동형,اِنَْمَكَ,,Y,엎어지다,넘어지다; 자빠지다,주로 갑작스럽고 의도치 않은 동작을 나타냄. 자동사.,اِنْهَمَكَ الصَّبِيُّ عَلَى الْأَرْضِ.,아이가 땅에 엎어졌다.,1
-م-ك,8,8형,اِفْتَعَلَ,재귀/중간태,اِْتَمَكَ,,Y,기대다,지지하다; 의지하다,자신을 지지하기 위해 다른 것에 의존하는 행위를 나타냄. 종종 추상적인 의미로 사용됨.,اِتَّمَكَ ٱلرَّجُلُ عَلَى ٱلْجِدَارِ ٱلْمَائِلِ.,남자는 기울어진 벽에 기대었다.,1
-م-ك,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَْمَكَ,,N,소유하다,장악하다; 독점하다,"주로 추상적인 개념이나 권력, 지배력을 소유함을 나타내는 경향이 있음",اِسْتَمَكَ الشَّرِكَةُ السُّوقَ بِالْكَامِلِ.,회사는 시장을 완전히 장악했다.,1
ء-ث-ر,1,1형,فَعَلَ,기본형,ءَثَرَ,,N,영향을 주다,선호하다; 흔적을 남기다,"주로 타동사로 사용되며, 추상적인 영향력을 나타낼 때도 사용됨",أَثَرَ التَّارِيخُ فِي حَاضِرِنَا.,역사는 우리의 현재에 영향을 주었다.,1
ء-ث-ر,2,2형,فَعَّلَ,사동/강조,ءَثَّرَ,,N,영향을 주다,감동시키다; 인상을 주다; 흔적을 남기다,"타동사로 사용되며, 주로 추상적인 개념에 영향을 주는 것을 나타냄",أَثَّرَ الْخَبَرُ فِي نَفْسِي كَثِيرًا.,그 소식이 내 마음에 큰 영향을 주었다.,1
ء-ث-ر,3,3형,فَاعَلَ,상호동작,ءَاثَرَ,,N,선호하다,우선시하다; 택하다,"타동사로, 대개 비교 대상을 수반하여 '더 ~을 선호하다'의 의미를 나타냄",آثَرَ عَلِيٌّ الْعِلْمَ عَلَى الْمَالِ.,알리는 재물보다 학문을 더 선호했다.,1
ء-ث-ر,4,4형,أَفْعَلَ,사역형,أَءْثَرَ,,N,선호하다,우선시하다; 영향을 주다; 없음,"주로 타동사로 사용되며, 추상적인 의미로 확장되어 사용됨",أَءْثَرَ ٱلْعِلْمَ عَلَى ٱلْمَالِ كَثِيرًا,그는 지식을 재물보다 훨씬 더 선호했다.,1
ء-ث-ر,5,5형,تَفَعَّلَ,재귀(2형),تَءَثَّرَ,,N,영향받다,감동받다; 인상받다,자발적인 행위보다는 외부의 영향에 의한 변화를 나타냄,تَأَثَّرَ الْوَلَدُ بِقِصَّةِ الْجَدَّةِ.,아이는 할머니의 이야기에 감동받았다.,1
ء-ث-ر,6,6형,تَفَاعَلَ,상호재귀,تَءَاثَرَ,,N,서로 영향을 주다,서로 감동하다; 서로 모방하다,6형 동사는 상호 작용이나 공유된 행동을 나타내는 경향이 있습니다.,تَآثَرَ الْفَنَّانَانِ بِأَعْمَالِ بَعْضِهِمَا.,두 예술가는 서로의 작품에 영향을 받았다.,1
ء-ث-ر,7,7형,اِنْفَعَلَ,수동형,اِنْءَثَرَ,,N,영향받다,자극받다; 감동받다,"주로 수동적인 의미로, 외부 요인에 의해 영향을 받거나 감동을 받는 것을 나타냄",اِنْءَثَرَ قَلْبُهُ بِالْخَبَرِ الْمُفْرِحِ.,그의 마음은 기쁜 소식에 감동받았다.,1
ء-ث-ر,8,8형,اِفْتَعَلَ,재귀/중간태,اِءْتَثَرَ,,N,자취를 남기다,영향을 받다; 본받다; 없음,"주로 수동적인 의미로 사용되며, 과거의 영향을 받는 것을 나타냄",اِءْتَثَرَ الْوَلَدُ بِأَبِيهِ الْعَالِمِ.,그 아이는 학자인 그의 아버지에게 영향을 받았다.,1
ء-ث-ر,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَءْثَرَ,,N,독점하다,사취하다; 전유하다,"주로 타동사로 사용되며, 이기적인 행위를 나타냄",اِسْتَأْثَرَ الرَّئِيسُ بِالسُّلْطَةِ وَالْمالِ.,대통령은 권력과 재산을 독점했다.,1
أ-خ-ذ,1,1형,فَعَلَ,기본형,أَخَذَ,,Y,취하다,잡다; 시작하다; 배우다,"가장 기본적인 의미로, 물리적/추상적 대상을 모두 취하는 행위를 나타냄. 다양한 파생형으로 의미 확장.",أَخَذَ الطِّفْلُ الْكِتَابَ مِنْ أُمِّهِ.,아이가 엄마로부터 책을 가져갔다.,1
أ-خ-ذ,2,2형,فَعَّلَ,사동/강조,أَخَّذَ,,Y,붙잡다,벌주다; 비난하다; 나무라다,"타동사로, 강한 행위나 결과의 강조를 내포함; 원형 동사(أَخَذَ)보다 더 적극적인 의미",أَخَّذَ ٱلشُّرْطِيُّ ٱللِّصَّ مُتَلَبِّسًا.,경찰은 도둑을 현행범으로 붙잡았다.,1
أ-خ-ذ,3,3형,فَاعَلَ,상호동작,أَاخَذَ,,N,대항하다,공격하다; 다투다,주로 상호 작용이나 대립의 의미를 내포함,تُؤَاخِذُ الْجُيُوشُ بَعْضَهَا بَعْضًا.,군대들이 서로 공격하고 있다.,1
أ-خ-ذ,4,4형,أَفْعَلَ,사역형,أَأْخَذَ,,N,잡아채다,빼앗다; 유발하다,"사동형으로, 간접적인 원인 제공이나 결과를 강조함",أَأْخَذَهُ ٱلْخَوْفُ فَجْأَةً.,두려움이 갑자기 그를 사로잡았다.,1
أ-خ-ذ,5,5형,تَفَعَّلَ,재귀(2형),تَأَخَّذَ,,Y,취하다,받아들이다; 학습하다; 간주하다,5형은 점진적인 과정 또는 노력을 강조하는 경향이 있음. 때로는 가짜로 ~인 척하는 의미를 내포.,تَأَخَّذَ الْوَلَدُ عِلْمًا كَثِيرًا فِي الْمَدْرَسَةِ.,그 아이는 학교에서 많은 지식을 습득했다.,1
أ-خ-ذ,6,6형,تَفَاعَلَ,상호재귀,تَأَاخَذَ,,N,서로 잡다,서로 비난하다; 서로 벌주다,상호 작용 및 공동 행동을 나타내는 6형 동사,تَأَاخَذَ الْخَصْمَانِ بِالأَعْنَاقِ.,두 적은 서로의 목을 잡았다.,1
أ-خ-ذ,7,7형,اِنْفَعَلَ,수동형,اِنْأَخَذَ,,N,잡히다,넘어지다; 굴복하다,"주로 수동적, 자동적 의미를 나타냄. 스스로의 의지가 아닌 외부 요인에 의해 발생함을 강조.",اِنْأَخَذَ الْكِتَابُ مِنِّي فَجْأَةً.,책이 갑자기 나에게서 잡혀갔다.,1
أ-خ-ذ,8,8형,اِفْتَعَلَ,재귀/중간태,اِأْتَخَذَ,,N,택하다,채택하다; 삼다; 간주하다,주로 추상적인 대상을 선택하거나 어떤 상태로 만드는 의미를 가짐,اِتَّخَذَ ٱللّٰهُ إِبْرَٰهِيمَ خَلِيلًا,알라는 아브라함을 친구로 삼으셨다,1
أ-خ-ذ,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَأْخَذَ,,N,체포하다,점령하다; 사로잡다,주로 강압적인 힘을 사용하여 대상을 취하는 의미를 나타내는 경우가 많음,اِسْتَأْخَذَ الْجُنُودُ الْمَدِينَةَ بِالْقُوَّةِ,군인들이 힘으로 도시를 점령했다.,1
أ-ك-ل,1,1형,فَعَلَ,기본형,أَكَلَ,,Y,먹다,갉아먹다; 부식시키다; 탐내다,가장 기본적인 형태의 동사; 물리적인 음식 섭취에 주로 사용됨,أَكَلَ الوَلَدُ التُّفَاحَةَ بِسُرْعَةٍ.,아이가 사과를 빨리 먹었다.,1
أ-ك-ل,2,2형,فَعَّلَ,사동/강조,أَكَّلَ,,Y,먹이다,벌레 먹게 하다; 부식시키다; 축내다,"사동의 의미를 가지며, 때로는 비유적인 의미로 사용됨",أَكَّلَ السُّوسُ الْخَشَبَ قَدِيمًا,좀벌레가 옛날에 나무를 갉아먹었다.,1
أ-ك-ل,3,3형,فَاعَلَ,상호동작,أَاكَلَ,,N,서로 먹이다,함께 먹다; 대접하다,주로 상호 작용이나 관계성을 나타냄; '함께' 또는 '서로'의 의미를 내포,أَكَلَ الرَّجُلُ زَوْجَتَهُ الطَّعَامَ.,남자가 그의 아내에게 음식을 먹여주었다.,1
أ-ك-ل,4,4형,أَفْعَلَ,사역형,أَأْكَلَ,,N,먹이다,먹게 하다; 먹을 것을 주다,"사동형 동사, 즉 '먹다'라는 행위를 하게 만드는 것을 의미",أَأْكَلْتُ الطِّفْلَ التُّفَّاحَةَ.,나는 아이에게 사과를 먹였다.,1
أ-ك-ل,5,5형,تَفَعَّلَ,재귀(2형),تَأَكَّلَ,,Y,부식되다,갉아먹히다; 침식되다,주로 점진적이고 파괴적인 과정(시간의 흐름에 따른 부식)을 묘사합니다. 수동적인 의미를 내포합니다.,تَأَكَّلَ السَّطْحُ بِسَبَبِ الرُّطُوبَةِ.,표면이 습기 때문에 부식되었다.,1
أ-ك-ل,6,6형,تَفَاعَلَ,상호재귀,تَأَاكَلَ,,N,부식되다,침식되다; 좀먹다,"상호작용적 의미를 내포하며, 점진적이고 광범위한 파괴를 나타냄",تَأَاكَلَ المِعْدَنُ بِفِعْلِ الرُّطُوبَةِ.,금속이 습기로 인해 부식되었다.,1
أ-ك-ل,7,7형,اِنْفَعَلَ,수동형,اِنْأَكَلَ,,N,먹히다,섭취되다; 소모되다; 사라지다,"수동적 의미를 가지며, 자동사로 사용됨 (능동태는 거의 사용되지 않음)",اِنْأُكِلَ الطَّعَامُ بِسُرْعَةٍ كَبِيرَةٍ.,음식이 매우 빠른 속도로 먹혔다.,1
أ-ك-ل,8,8형,اِفْتَعَلَ,재귀/중간태,اِأْتَكَلَ,,N,기대다,의지하다; 위탁하다,"주로 추상적인 의미로, 물리적인 '먹다'의 의미에서 파생된 비유적인 의미를 가짐. 종종 수동적 의미를 내포.",اِتَّكَلَ ٱلْمُوَظَّفُ عَلَىٰ رَئِيسِهِ,그 직원은 그의 상사에게 의지했다.,1
أ-ك-ل,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَأْكَلَ,,N,먹기를 청하다,없음,"10형은 주로 요구, 간청, 혹은 어떤 상태를 구하는 의미를 나타냅니다.",اِسْتَأْكَلَ الرَّجُلُ ضَيْفَهُ طَعَامًا.,남자가 그의 손님에게 음식을 먹기를 청했다.,1
ب-ت-د,1,1형,فَعَلَ,기본형,بَتَدَ,,N,끊다,중단하다; 자르다,주로 물리적인 대상을 자르거나 끊는 행위를 나타냄,بَتَدَ الْجَزَّارُ اللَّحْمَ بِالسِّكِّينِ.,정육점 주인이 칼로 고기를 잘랐다.,1
ب-ت-د,2,2형,فَعَّلَ,사동/강조,بَتَّدَ,,N,분할하다,잘라내다; 단정하다; 최종 결정하다,"주로 타동사로 사용되며, 물리적 분할 뿐 아니라 추상적 결정의 의미로도 사용됨",بَتَّدَ الْحَكَمُ فِي الْقَضِيَّةِ.,재판관이 사건을 최종 결정했다.,1
ب-ت-د,3,3형,فَاعَلَ,상호동작,بَاتَدَ,,N,멀리하다,끊다; 절교하다,주로 관계나 교류를 멀리하거나 단절하는 의미로 사용되는 동사,بَاتَدَ الرَّجُلُ أَصْدِقَاءَهُ بِسَبَبِ خِلَافٍ.,그 남자는 불화 때문에 친구들을 멀리했다.,1
ب-ت-د,4,4형,أَفْعَلَ,사역형,أَبْتَدَ,,N,시작하다,창시하다; 창안하다,주로 추상적인 개념이나 행위를 시작하는 의미를 나타냄; 사동의 의미를 내포,أَبْتَدَ المَشْرُوعَ بِتَفْكِيرٍ عَمِيقٍ.,나는 깊은 생각으로 프로젝트를 시작했다.,1
ب-ت-د,5,5형,تَفَعَّلَ,재귀(2형),تَبَتَّدَ,,N,시작하다,착수하다; 시작되다,"주로 추상적인 의미의 시작이나 과정의 시작을 나타냄, 자동사적 용법이 많음",تَبَتَّدَ الْمَشْرُوعُ بِخُطَطٍ وَاضِحَةٍ.,그 프로젝트는 명확한 계획으로 시작되었다.,1
ب-ت-د,6,6형,تَفَاعَلَ,상호재귀,تَبَاتَدَ,,N,천천히 움직이다,꾸물거리다; 지체하다,6형은 상호성이나 점진적인 진행을 나타내는 경우가 많음,تَبَاتَدَ الرَّجُلُ فِي مَشْيِهِ.,그 남자는 걸음걸이에서 천천히 움직였다.,1
ب-ت-د,7,7형,اِنْفَعَلَ,수동형,اِنْبَتَدَ,,N,분리되다,"끊어지다, 단절되다","7형 동사로, 주로 수동 또는 자동의 의미를 나타냅니다. 'بتّ' (자르다, 끊다)라는 기본 의미에서 파생되어, 무언가로부터 분리되거나 관계가 끊어지는 상황을 묘사합니다.",اِنْبَتَدَ الْحَبْلُ.,밧줄이 끊어졌다.,1
ب-ت-د,8,8형,اِفْتَعَلَ,재귀/중간태,اِبْتَتَدَ,,N,시작하다,"개시하다, 착수하다","8형 동사로, 주로 자동사로 쓰이며 '스스로 시작하다', '착수하다' 등의 의미를 나타낸다. 주로 긍정적인 의미를 지닌 시작에 사용된다.",اِبْتَدَأَ الْمُدَرِّسُ الدَّرْسَ.,선생님이 수업을 시작했다.,1
ب-ت-د,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَبْتَدَ,,N,서두르다,없음,"Form 10은 주로 요구, 추구를 나타내며, 'اِسْتَبْتَدَ'는 어떤 일을 서둘러서 처리하려고 애쓰는 뉘앙스를 가집니다. 단순히 '서두르다' 뿐만 아니라, '서둘러서 처리하려고 하다', '재촉하다' 와 같은 의미로 확장될 수 있습니다.",اِسْتَبْتَدَ الرَّجُلُ فِي إِنْهَاءِ عَمَلِهِ.,그 남자는 그의 일을 끝내는 것을 서둘렀다.,1
ب-ح-ث,1,1형,فَعَلَ,기본형,بَحَثَ,,Y,찾다,"연구하다, 조사하다","가장 기본적인 의미는 물리적인 물건이나 정보를 '찾다'는 것이지만, 추상적인 개념에 대한 '연구'나 '조사'를 의미할 수도 있습니다. Form 1 동사로, 가장 기본 형태입니다.",بَحَثْتُ عَنْ كِتَابِي.,나는 내 책을 찾았다.,1
ب-ح-ث,2,2형,فَعَّلَ,사동/강조,بَحَّثَ,,Y,연구하다,"조사하다, 탐구하다","2형 동사로, 1형(بَحَثَ)보다 더 깊이, 체계적으로 연구하거나 조사하는 뉘앙스를 가집니다. 또한, 어떤 문제를 집중적으로 다루는 의미도 포함될 수 있습니다.",بَحَّثَ العَالِمُ فِي هَذِهِ الظَّاهِرَةِ.,그 과학자는 이 현상을 연구했다.,1
ب-ح-ث,3,3형,فَاعَلَ,상호동작,بَاحَثَ,,Y,논의하다,"토론하다, 협의하다","Form III 동사로, 상호 작용의 의미를 나타냅니다. 즉, 두 사람 이상이 서로 논의하거나 토론하는 행위를 나타냅니다. 기본 어근 'ب-ح-ث'는 '찾다, 조사하다'의 의미를 가지며, Form III에서 상호 작용의 의미가 더해져 '서로 조사하다' -> '논의하다'의 의미로 확장됩니다.",بَاحَثَ الطُّلَّابُ الْمَوْضُوعَ.,학생들은 그 주제를 논의했다.,1
ب-ح-ث,4,4형,أَفْعَلَ,사역형,أَبْحَثَ,,Y,찾다,"조사하다, 연구하다","Form 4는 기본적으로 사동 또는 타동성을 강화하는 경향이 있으며, '찾게 하다', '찾도록 하다' 와 같이 목적어에 대한 영향을 강조합니다. 능동태 동사입니다.",أَبْحَثُ عَنْ كِتَابِي. ,나는 내 책을 찾고 있다.,1
ب-ح-ث,5,5형,تَفَعَّلَ,재귀(2형),تَبَحَّثَ,,Y,연구하다,"조사하다, 탐구하다","5형 동사로, 주로 '자세히, 깊이' 연구하거나 조사하는 행위를 나타냅니다. 자동사로 사용될 수도 있습니다.",تَبَحَّثَ الطُّلَّابُ عَنْ حَلِّ الْمُشْكِلَةِ.,학생들은 문제 해결책에 대해 연구했다.,1
ب-ح-ث,6,6형,تَفَاعَلَ,상호재귀,تَبَاحَثَ,,Y,토론하다,"논의하다, 협의하다","Form 6 동사로, 주로 상호적인 행위를 나타내며, 두 명 이상의 사람이 함께 어떤 주제에 대해 깊이 있게 논의하거나 토론하는 것을 의미합니다. 특히 문제 해결이나 합의 도출을 위한 토론에 많이 사용됩니다.",تَبَاحَثَ الطُلَّابُ مَوْضُوعَ البَحْثِ.,학생들은 연구 주제에 대해 토론했다.,1
ب-ح-ث,7,7형,اِنْفَعَلَ,수동형,اِنْبَحَثَ,,N,탐구되다,"연구되다, 조사되다","7형은 주로 수동태나 반영태 의미를 나타내며, 여기서는 'بَحَثَ' (탐구하다, 연구하다)의 수동형처럼 사용되어 '탐구되다', '연구되다'의 의미를 지닙니다. 자동사적 성격을 가집니다.",اِنْبَحَثَ الْمَوْضُوعُ بِعُمْقٍ.,그 주제는 깊이 있게 탐구되었다.,1
ب-ح-ث,8,8형,اِفْتَعَلَ,재귀/중간태,اِبْتَحَثَ,,N,연구하다,"조사하다, 탐구하다","제8형은 노력과 집중을 강조하며, 좀 더 심층적인 연구나 조사를 나타낸다. 자동사로 쓰일 수도 있고, 타동사로 쓰일 수도 있다.",اِبْتَحَثَ الْعَالِمُ فِي هَذِهِ الْمَسْأَلَةِ.,그 과학자는 이 문제를 연구했다.,1
ب-ح-ث,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَبْحَثَ,,N,심층 조사하다,없음,"10형 동사로, 어떤 것을 철저히, 심도 있게 조사하고 탐구하는 행위를 나타냅니다. 주로 특정 주제, 문제, 현상 등에 대해 깊이 파고들어 분석하고 연구하는 상황에서 사용됩니다.",اِسْتَبْحَثَ الْبَاحِثُ الْمَوْضُوعَ بِعُمْقٍ.,연구자는 그 주제를 깊이 조사했다.,1
ب-د-أ,1,1형,فَعَلَ,기본형,بَدَأَ,,Y,시작하다,"착수하다, 개시하다","가장 기본적인 '시작하다'라는 의미를 가지며, 주로 어떤 행위나 과정의 시작을 나타낸다. 다양한 시제와 함께 사용되어 과거, 현재, 미래의 시작을 표현할 수 있다.",بَدَأَ الدَّرْسُ.,수업이 시작되었다.,1
ب-د-أ,2,2형,فَعَّلَ,사동/강조,بَدَّأَ,,Y,시작하다,없음,"2형 동사로, 단순히 '시작하다'라는 의미 외에 '…하게 하다', '…하게 만들다'와 같이 사동의 의미를 내포할 수 있습니다. 기본적으로 목적어를 필요로 하는 타동사입니다.",بَدَأَ الْمُدَرِّسُ الدَّرْسَ.,선생님이 수업을 시작했다.,1
ب-د-أ,3,3형,فَاعَلَ,상호동작,بَادَأَ,,Y,시작하다,"먼저 제안하다, 착수하다","3형 동사로, 주로 상호작용이나 순서를 나타내는 뉘앙스를 가집니다. 즉, 무언가를 시작하거나, 먼저 제안하거나, 착수하는 행위를 강조합니다. 자동사와 타동사로 모두 사용될 수 있습니다.",بَادَأَ الْمُدَرِّسُ الدَّرْسَ بِسُؤَالٍ.,선생님은 질문으로 수업을 시작했다.,1
ب-د-أ,4,4형,أَفْعَلَ,사역형,أَبْدَأَ,,Y,시작하다,없음,"4형 동사로, 주로 사동의 의미를 갖습니다. 즉, 스스로 시작하는 것이 아니라 '시작하게 만들다', '시작하게 하다'라는 의미를 내포합니다. 하지만 실질적으로는 1형과 유사하게 '시작하다'로 번역되는 경우가 많습니다.",أَبْدَأُ دَرْسِي غَدًا. (ʾabdaʾu darsī ġadan.),나는 내일 내 수업을 시작할 것이다.,1
ب-د-أ,5,5형,تَفَعَّلَ,재귀(2형),تَبَدَّأَ,,Y,시작하다,"착수하다, 먼저 하다","5형 동사로, 능동형이며, 주로 어떤 일에 착수하거나, 무엇을 먼저 시작하는 행위를 나타냅니다. 종종 '...부터 시작하다'의 의미로 사용됩니다.",تَبَدَّأَ الْعَامِلُ بِنَظَافَةِ الْمَكْتَبِ.‎,노동자는 사무실 청소부터 시작했다.,1
