id,level,type,arabic_text,korean_meaning,root,form,pattern
70021,7,vocabulary,اِعْتَرَفَ,"인정하다, 고백하다",ع-ر-ف,8,اِفْتَعَلَ
70022,7,vocabulary,اِقْتَحَمَ,"침입하다, 돌파하다",ق-ح-م,8,اِفْتَعَلَ
70023,7,vocabulary,اِبْتَسَمَ,미소 짓다,ب-س-م,8,اِفْتَعَلَ
70024,7,vocabulary,اِفْتَخَرَ,자랑스러워하다,ف-خ-ر,8,اِفْتَعَلَ
70025,7,vocabulary,اِقْتَرَبَ,"다가가다, 접근하다",ق-ر-ب,8,اِفْتَعَلَ
70026,7,vocabulary,اِحْمَرَّ,붉어지다,ح-م-ر,9,اِفْعَلَّ
70027,7,vocabulary,اِصْفَرَّ,노랗게 되다,ص-ف-ر,9,اِفْعَلَّ
70028,7,vocabulary,اِخْضَرَّ,푸르게 되다,خ-ض-ر,9,اِفْعَلَّ
70029,7,vocabulary,اِبْيَضَّ,하얗게 되다,ب-ي-ض,9,اِفْعَلَّ
70030,7,vocabulary,اِسْوَدَّ,검게 되다,س-و-د,9,اِفْعَلَّ
70031,7,vocabulary,اِسْتَغْفَرَ,용서를 구하다,غ-ف-ر,10,اِسْتَفْعَلَ
70032,7,vocabulary,اِسْتَفْهَمَ,"질문하다, 이해를 구하다",ف-ه-م,10,اِسْتَفْعَلَ
70033,7,vocabulary,اِسْتَعْمَلَ,사용하다,ع-م-ل,10,اِسْتَفْعَلَ
70034,7,vocabulary,اِسْتَخْرَجَ,"추출하다, 뽑아내다",خ-ر-ج,10,اِسْتَفْعَلَ
70035,7,vocabulary,اِسْتَقْبَلَ,"환영하다, 맞이하다",ق-ب-ل,10,اِسْتَفْعَلَ
70036,7,vocabulary,اِسْتَعْلَمَ,"문의하다, 정보를 얻다",ع-ل-م,10,اِسْتَفْعَلَ
70037,7,vocabulary,اِسْتَخْدَمَ,"고용하다, 사용하다",خ-د-م,10,اِسْتَفْعَلَ
70038,7,vocabulary,اِسْتَفَادَ,"이득을 얻다, 활용하다",ف-ي-د,10,اِسْتَفْعَلَ
70039,7,vocabulary,اِسْتَرْجَعَ,"되찾다, 회수하다",ر-ج-ع,10,اِسْتَفْعَلَ
70040,7,vocabulary,اِسْتَأْذَنَ,허락을 구하다,أ-ذ-ن,10,اِسْتَفْعَلَ
70041,7,vocabulary,اِسْتَقَامَ,"똑바르다, 올바르다",ق-و-م,10,اِسْتَفْعَلَ
70042,7,vocabulary,اِسْتَمَرَّ,"계속하다, 지속하다",م-ر-ر,10,اِسْتَفْعَلَ
70043,7,vocabulary,اِسْتَسْلَمَ,"항복하다, 굴복하다",س-ل-م,10,اِسْتَفْعَلَ
70044,7,vocabulary,اِسْتَدْعَى,"소환하다, 요청하다",د-ع-و,10,اِسْتَفْعَلَ
70045,7,vocabulary,اِسْتَوْطَنَ,정착하다,و-ط-ن,10,اِسْتَفْعَلَ
70046,7,vocabulary,اِسْتَحَقَّ,"~할 자격이 있다, 마땅하다",ح-ق-ق,10,اِسْتَفْعَلَ
70047,7,vocabulary,اِسْتَطَاعَ,~할 수 있다,ط-و-ع,10,اِسْتَفْعَلَ
70048,7,vocabulary,اِسْتَأْمَنَ,"안전을 구하다, 신뢰하다",أ-م-ن,10,اِسْتَفْعَلَ
70049,7,vocabulary,اِسْتَنْجَدَ,도움을 청하다,ن-ج-د,10,اِسْتَفْعَلَ
70050,7,vocabulary,اِسْتَشَارَ,"조언을 구하다, 상담하다",ش-و-ر,10,اِسْتَفْعَلَ
